name,condition,genotype
b4_g16_comp_4.jpg,1,15
b1_g13_comp_3.jpg,1,12
b1_g1_ctr_2.jpg,0,0
b4_g29_comp_5.jpg,1,28
b1_g18_ctr_2.jpg,0,17
b1_g14_ctr_3.jpg,0,13
b3_g21_ctr_4.jpg,0,20
b1_g29_comp_3.jpg,1,28
b3_g22_comp_1.jpg,1,21
b4_g1_comp_2.jpg,1,0
b4_g15_comp_3.jpg,1,14
b2_g8_ctr_1.jpg,0,7
b3_g8_comp_1.jpg,1,7
b3_g17_ctr_4.jpg,0,16
b4_g22_ctr_4.jpg,0,21
b1_g26_ctr_2.jpg,0,25
b2_g20_comp_3.jpg,1,19
b1_g20_ctr_2.jpg,0,19
b1_g10_ctr_5.jpg,0,9
b3_g11_comp_3.jpg,1,10
b4_g11_ctr_5.jpg,0,10
b4_g30_comp_4.jpg,1,29
b3_g1_comp_1.jpg,1,0
b3_g15_ctr_3.jpg,0,14
b2_g9_comp_2.jpg,1,8
b4_g26_comp_3.jpg,1,25
b3_g16_ctr_5.jpg,0,15
b4_g18_ctr_5.jpg,0,17
b3_g22_comp_2.jpg,1,21
b3_g23_comp_2.jpg,1,22
b4_g2_comp_3.jpg,1,1
b4_g5_comp_1.jpg,1,4
b1_g10_ctr_1.jpg,0,9
b1_g2_ctr_1.jpg,0,1
b3_g29_ctr_1.jpg,0,28
b1_g9_comp_4.jpg,1,8
b1_g9_comp_3.jpg,1,8
b1_g19_ctr_2.jpg,0,18
b2_g7_ctr_5.jpg,0,6
b4_g11_comp_3.jpg,1,10
b4_g8_ctr_5.jpg,0,7
b4_g9_comp_4.jpg,1,8
b1_g19_comp_5.jpg,1,18
b3_g30_ctr_5.jpg,0,29
b2_g12_comp_4.jpg,1,11
b4_g14_ctr_2.jpg,0,13
b1_g24_comp_1.jpg,1,23
b4_g21_ctr_5.jpg,0,20
b2_g3_ctr_3.jpg,0,2
b1_g2_ctr_2.jpg,0,1
b4_g11_ctr_1.jpg,0,10
b2_g5_ctr_4.jpg,0,4
b4_g25_ctr_3.jpg,0,24
b1_g19_comp_4.jpg,1,18
b1_g7_comp_3.jpg,1,6
b4_g15_ctr_4.jpg,0,14
b2_g20_comp_2.jpg,1,19
b3_g10_ctr_5.jpg,0,9
b3_g6_ctr_3.jpg,0,5
b1_g5_comp_3.jpg,1,4
b4_g20_ctr_1.jpg,0,19
b3_g30_comp_2.jpg,1,29
b3_g11_comp_4.jpg,1,10
b1_g10_ctr_3.jpg,0,9
b3_g21_comp_3.jpg,1,20
b2_g13_comp_1.jpg,1,12
b4_g29_ctr_5.jpg,0,28
b3_g9_comp_1.jpg,1,8
b4_g7_comp_4.jpg,1,6
b3_g25_comp_4.jpg,1,24
b3_g20_comp_2.jpg,1,19
b1_g30_ctr_2.jpg,0,29
b1_g15_ctr_3.jpg,0,14
b3_g22_ctr_3.jpg,0,21
b1_g23_comp_2.jpg,1,22
b4_g19_comp_2.jpg,1,18
b2_g4_ctr_1.jpg,0,3
b4_g13_ctr_3.jpg,0,12
b2_g28_ctr_4.jpg,0,27
b3_g12_ctr_2.jpg,0,11
b3_g16_ctr_1.jpg,0,15
b1_g7_comp_5.jpg,1,6
b1_g12_ctr_4.jpg,0,11
b2_g30_ctr_3.jpg,0,29
b4_g17_comp_3.jpg,1,16
b3_g20_comp_5.jpg,1,19
b1_g27_ctr_3.jpg,0,26
b2_g25_comp_3.jpg,1,24
b4_g3_comp_1.jpg,1,2
b4_g21_ctr_1.jpg,0,20
b1_g17_comp_5.jpg,1,16
b3_g30_ctr_2.jpg,0,29
b4_g13_ctr_1.jpg,0,12
b2_g12_comp_3.jpg,1,11
b3_g28_comp_5.jpg,1,27
b4_g22_ctr_3.jpg,0,21
b2_g30_comp_4.jpg,1,29
b4_g10_ctr_3.jpg,0,9
b3_g23_comp_3.jpg,1,22
b4_g25_ctr_1.jpg,0,24
b1_g14_ctr_1.jpg,0,13
b1_g1_comp_5.jpg,1,0
b4_g10_comp_2.jpg,1,9
b2_g16_comp_2.jpg,1,15
b2_g6_comp_3.jpg,1,5
b2_g19_ctr_5.jpg,0,18
b2_g16_comp_3.jpg,1,15
b1_g5_comp_4.jpg,1,4
b2_g27_ctr_4.jpg,0,26
b3_g13_comp_1.jpg,1,12
b4_g11_ctr_4.jpg,0,10
b4_g7_ctr_2.jpg,0,6
b4_g27_comp_3.jpg,1,26
